SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	global_idx	presentation_number
2	1	1	1	46003	626	0.7310767321614547	0	1.0	871.8141770223156	0.0			0	1.0	1	0	1.0	0	1	1
2	1	1	2	42020	5013	0.7311230836203321	0	1.0	899.3699760176241	0.0			0	1.0	1	0	1.0	0	2	1
2	1	1	3	22500	4850	0.7311693849042057	0	1.0	534.9888829805424	0.0			0	1.0	1	0	1.0	0	3	1
2	1	1	4	61983	8823	0.7312156152911484	0	1.0	525.0758030160796	0.0			0	1.0	1	0	1.0	0	4	1
2	1	1	5	48145	9538	0.7312619172735139	0	1.0	551.5463429910596	0.0			0	1.0	1	0	1.0	0	5	1
2	1	1	6	24129	6061	0.7313082861946895	0	1.0	612.9322380002121	0.0			0	1.0	1	0	1.0	0	6	1
2	1	1	7	48497	4421	0.7313545055221766	0	1.0	740.4872280021663	0.0			0	1.0	1	0	1.0	0	7	1
2	1	1	8	47597	3858	0.7314008724642918	0	1.0	609.5724769984372	0.0			0	1.0	1	0	1.0	0	8	1
2	1	1	9	36218	8124	0.731447089696303	0	1.0	639.4386710016988	0.0			0	1.0	1	0	1.0	0	9	1
2	1	1	10	33066	4843	0.7314934668829663	0	1.0	765.2091470081358	0.0			0	1.0	1	0	1.0	0	10	1
2	1	1	11	70244	7941	0.7315396803896874	0	1.0	551.6972029872704	0.0			0	1.0	1	0	1.0	0	11	1
2	1	1	12	19692	4523	0.7315860639791935	0	1.0	472.76005599997006	0.0			0	1.0	1	0	1.0	0	12	1
2	1	1	13	31380	1070	0.7316786595620214	0	1.0	593.804864998674	0.0			0	1.0	1	0	1.0	0	13	1
2	1	1	14	41342	9588	0.7317248586332425	0	1.0	488.1083309883252	0.0			0	1.0	1	0	1.0	0	14	1
2	1	1	15	44699	4623	0.7317712533986195	0	1.0	593.8960350176785	0.0			0	1.0	1	0	1.0	0	15	1
2	1	1	16	52819	3185	0.7318174469983205	0	1.0	702.6550390000921	0.0			0	1.0	1	0	1.0	0	16	1
2	1	1	17	23934	4586	0.7318638423457741	0	1.0	659.5110109774396	0.0			0	1.0	1	0	1.0	0	17	1
2	1	1	18	40525	1009	0.731910036294721	0	1.0	557.6512199768331	0.0			0	1.0	1	0	1.0	0	18	1
2	1	1	19	18695	8634	0.731956441886723	0	1.0	544.5736539841164	0.0			0	1.0	1	0	1.0	0	19	1
2	1	1	20	16008	9648	0.7320026238448917	0	1.0	516.0392689867876	0.0			0	1.0	1	0	1.0	0	20	1
2	1	1	21	23841	9425	0.7320490402635186	0	1.0	641.0027290112339	0.0			0	1.0	1	0	1.0	0	21	1
2	1	1	22	8750	1344	0.7320951449219137	0	1.0	891.9005060160998	0.0			0	1.0	1	0	1.0	0	22	1
2	1	1	23	54961	7441	0.7321877406211569	0	1.0	510.7753060001414	0.0			0	1.0	1	0	1.0	0	23	1
2	1	1	24	37094	3902	0.7322340382961556	0	1.0	518.4504789940547	0.0			0	1.0	1	0	1.0	0	24	1
2	1	1	25	22591	8795	0.7322802974376827	0	1.0	625.4477339971345	0.0			0	1.0	1	0	1.0	0	25	1
2	1	1	26	38629	1840	0.7323266080347821	0	1.0	533.663087990135	0.0			0	1.0	1	0	1.0	0	26	1
2	1	1	27	57814	1356	0.7323728827759624	0	1.0	502.82042601611465	0.0			0	1.0	1	0	1.0	0	27	1
2	1	1	28	51899	5506	0.7324191941879689	0	1.0	839.4889690098352	0.0			0	1.0	1	0	1.0	0	28	1
2	1	1	29	48618	666	0.7324654675321653	0	1.0	851.8806159845553	0.0			0	1.0	1	0	1.0	0	29	1
2	1	1	30	29707	8240	0.7325117711443454	0	1.0	571.1222709796857	0.0			0	1.0	1	0	1.0	0	30	1
2	1	1	31	17626	7232	0.7325580613687634	0	1.0	669.5527869742364	0.0			0	1.0	1	0	1.0	0	31	1
2	1	1	32	2548	5691	0.7326043577631935	0	1.0	557.0839479914865	0.0			0	1.0	1	0	1.0	0	32	1
2	1	1	33	57847	6661	0.7326506450772285	0	1.0	615.5168589903042	0.0			0	1.0	1	0	1.0	0	33	1
